StateFIPS,State,Year,Value,Data Comment,Number of CWS,,Concentration
9,Connecticut,2014,0%,,1,,Concentration: (>5)
9,Connecticut,2014,97%,,255,,Concentration: (not-detected)
9,Connecticut,2015,2%,,4,,Concentration: (0-<=5)
9,Connecticut,2015,0%,,1,,Concentration: (>5)
9,Connecticut,2015,98%,,253,,Concentration: (not-detected)
9,Connecticut,2016,1%,,5,,Concentration: (0-<=5)
9,Connecticut,2016,0%,,1,,Concentration: (>5)
9,Connecticut,2016,98%,,364,,Concentration: (not-detected)
9,Connecticut,2017,3%,,6,,Concentration: (0-<=5)
9,Connecticut,2017,1%,,2,,Concentration: (>5)
9,Connecticut,2017,96%,,211,,Concentration: (not-detected)
9,Connecticut,2018,1%,,3,,Concentration: (0-<=5)
9,Connecticut,2018,0%,,1,,Concentration: (>5)
9,Connecticut,2018,98%,,204,,Concentration: (not-detected)
9,Connecticut,2019,2%,,5,,Concentration: (0-<=5)
9,Connecticut,2019,0%,,1,,Concentration: (>5)
9,Connecticut,2019,98%,,292,,Concentration: (not-detected)
9,Connecticut,2020,3%,,6,,Concentration: (0-<=5)
9,Connecticut,2020,0%,,1,,Concentration: (>5)
9,Connecticut,2020,97%,,202,,Concentration: (not-detected)
9,Connecticut,2021,2%,,5,,Concentration: (0-<=5)
9,Connecticut,2021,0%,,0,,Concentration: (>5)
9,Connecticut,2021,98%,,201,,Concentration: (not-detected)
9,Connecticut,2023,1%,,2,,Concentration: (0-<=5)
9,Connecticut,2023,0%,,0,,Concentration: (>5)
9,Connecticut,2023,99%,,196,,Concentration: (not-detected)
10,Delaware,2004,2%,,2,,Concentration: (0-<=5)
10,Delaware,2004,0%,,0,,Concentration: (>5)
10,Delaware,2004,98%,,92,,Concentration: (not-detected)
10,Delaware,2005,3%,,2,,Concentration: (0-<=5)
10,Delaware,2005,0%,,0,,Concentration: (>5)
10,Delaware,2005,97%,,66,,Concentration: (not-detected)
10,Delaware,2006,1%,,1,,Concentration: (0-<=5)
10,Delaware,2006,1%,,1,,Concentration: (>5)
10,Delaware,2006,98%,,110,,Concentration: (not-detected)
10,Delaware,2007,2%,,3,,Concentration: (0-<=5)
10,Delaware,2007,0%,,0,,Concentration: (>5)
10,Delaware,2007,98%,,148,,Concentration: (not-detected)
10,Delaware,2008,2%,,2,,Concentration: (0-<=5)
10,Delaware,2008,1%,,1,,Concentration: (>5)
10,Delaware,2008,97%,,93,,Concentration: (not-detected)
10,Delaware,2009,3%,,3,,Concentration: (0-<=5)
10,Delaware,2009,0%,,0,,Concentration: (>5)
10,Delaware,2009,97%,,114,,Concentration: (not-detected)
10,Delaware,2010,3%,,4,,Concentration: (0-<=5)
10,Delaware,2010,1%,,1,,Concentration: (>5)
10,Delaware,2010,96%,,137,,Concentration: (not-detected)
10,Delaware,2011,4%,,4,,Concentration: (0-<=5)
10,Delaware,2011,1%,,1,,Concentration: (>5)
10,Delaware,2011,95%,,96,,Concentration: (not-detected)
10,Delaware,2012,5%,,5,,Concentration: (0-<=5)
10,Delaware,2012,1%,,1,,Concentration: (>5)
10,Delaware,2012,94%,,96,,Concentration: (not-detected)
10,Delaware,2013,4%,,4,,Concentration: (0-<=5)
10,Delaware,2013,0%,,0,,Concentration: (>5)
10,Delaware,2013,96%,,106,,Concentration: (not-detected)
10,Delaware,2014,2%,,3,,Concentration: (0-<=5)
10,Delaware,2014,0%,,0,,Concentration: (>5)
10,Delaware,2014,98%,,120,,Concentration: (not-detected)
10,Delaware,2015,3%,,4,,Concentration: (0-<=5)
10,Delaware,2015,0%,,0,,Concentration: (>5)
10,Delaware,2015,97%,,111,,Concentration: (not-detected)
10,Delaware,2016,1%,,2,,Concentration: (0-<=5)
10,Delaware,2016,0%,,0,,Concentration: (>5)
10,Delaware,2016,99%,,133,,Concentration: (not-detected)
10,Delaware,2017,2%,,3,,Concentration: (0-<=5)
10,Delaware,2017,0%,,0,,Concentration: (>5)
10,Delaware,2017,98%,,133,,Concentration: (not-detected)
10,Delaware,2018,2%,,2,,Concentration: (0-<=5)
10,Delaware,2018,0%,,0,,Concentration: (>5)
10,Delaware,2018,98%,,121,,Concentration: (not-detected)
10,Delaware,2019,0%,,0,,Concentration: (0-<=5)
10,Delaware,2019,0%,,0,,Concentration: (>5)
10,Delaware,2019,100%,,149,,Concentration: (not-detected)
10,Delaware,2020,0%,,0,,Concentration: (0-<=5)
10,Delaware,2020,0%,,0,,Concentration: (>5)
10,Delaware,2020,100%,,131,,Concentration: (not-detected)
10,Delaware,2021,0%,,0,,Concentration: (0-<=5)
10,Delaware,2021,0%,,0,,Concentration: (>5)
10,Delaware,2021,100%,,126,,Concentration: (not-detected)
10,Delaware,2022,1%,,1,,Concentration: (0-<=5)
10,Delaware,2022,0%,,0,,Concentration: (>5)
10,Delaware,2022,99%,,145,,Concentration: (not-detected)
10,Delaware,2023,0%,,0,,Concentration: (0-<=5)
10,Delaware,2023,0%,,0,,Concentration: (>5)
10,Delaware,2023,100%,,128,,Concentration: (not-detected)
12,Florida,1999,2%,,8,,Concentration: (0-<=5)
12,Florida,1999,0%,,1,,Concentration: (>5)
12,Florida,1999,98%,,480,,Concentration: (not-detected)
12,Florida,2000,0%,,5,,Concentration: (0-<=5)
12,Florida,2000,0%,,0,,Concentration: (>5)
12,Florida,2000,100%,,"1,431",,Concentration: (not-detected)
12,Florida,2001,3%,,7,,Concentration: (0-<=5)
12,Florida,2001,0%,,0,,Concentration: (>5)
12,Florida,2001,97%,,265,,Concentration: (not-detected)
12,Florida,2002,2%,,9,,Concentration: (0-<=5)
12,Florida,2002,0%,,0,,Concentration: (>5)
12,Florida,2002,98%,,467,,Concentration: (not-detected)
12,Florida,2003,1%,,8,,Concentration: (0-<=5)
12,Florida,2003,0%,,0,,Concentration: (>5)
12,Florida,2003,99%,,"1,271",,Concentration: (not-detected)
12,Florida,2004,1%,,3,,Concentration: (0-<=5)
12,Florida,2004,0%,,1,,Concentration: (>5)
12,Florida,2004,98%,,257,,Concentration: (not-detected)
12,Florida,2005,2%,,7,,Concentration: (0-<=5)
12,Florida,2005,0%,,0,,Concentration: (>5)
12,Florida,2005,99%,,460,,Concentration: (not-detected)
12,Florida,2006,1%,,8,,Concentration: (0-<=5)
12,Florida,2006,0%,,0,,Concentration: (>5)
12,Florida,2006,99%,,"1,376",,Concentration: (not-detected)
12,Florida,2007,2%,,5,,Concentration: (0-<=5)
12,Florida,2007,0%,,0,,Concentration: (>5)
12,Florida,2007,98%,,244,,Concentration: (not-detected)
12,Florida,2008,1%,,4,,Concentration: (0-<=5)
12,Florida,2008,0%,,0,,Concentration: (>5)
12,Florida,2008,99%,,431,,Concentration: (not-detected)
12,Florida,2009,0%,,6,,Concentration: (0-<=5)
12,Florida,2009,0%,,0,,Concentration: (>5)
12,Florida,2009,100%,,"1,306",,Concentration: (not-detected)
12,Florida,2010,3%,,5,,Concentration: (0-<=5)
12,Florida,2010,0%,,0,,Concentration: (>5)
12,Florida,2010,97%,,194,,Concentration: (not-detected)
12,Florida,2011,1%,,5,,Concentration: (0-<=5)
12,Florida,2011,0%,,0,,Concentration: (>5)
12,Florida,2011,99%,,411,,Concentration: (not-detected)
12,Florida,2012,1%,,10,,Concentration: (0-<=5)
12,Florida,2012,0%,,0,,Concentration: (>5)
12,Florida,2012,99%,,"1,254",,Concentration: (not-detected)
12,Florida,2013,2%,,3,,Concentration: (0-<=5)
12,Florida,2013,0%,,0,,Concentration: (>5)
12,Florida,2013,98%,,160,,Concentration: (not-detected)
12,Florida,2014,1%,,3,,Concentration: (0-<=5)
12,Florida,2014,0%,,0,,Concentration: (>5)
12,Florida,2014,99%,,402,,Concentration: (not-detected)
12,Florida,2015,1%,,9,,Concentration: (0-<=5)
12,Florida,2015,0%,,0,,Concentration: (>5)
12,Florida,2015,99%,,"1,202",,Concentration: (not-detected)
12,Florida,2016,5%,,7,,Concentration: (0-<=5)
12,Florida,2016,0%,,0,,Concentration: (>5)
12,Florida,2016,95%,,144,,Concentration: (not-detected)
12,Florida,2017,2%,,8,,Concentration: (0-<=5)
12,Florida,2017,0%,,0,,Concentration: (>5)
12,Florida,2017,98%,,388,,Concentration: (not-detected)
12,Florida,2018,1%,,8,,Concentration: (0-<=5)
12,Florida,2018,0%,,0,,Concentration: (>5)
12,Florida,2018,99%,,"1,150",,Concentration: (not-detected)
12,Florida,2019,6%,,8,,Concentration: (0-<=5)
12,Florida,2019,0%,,0,,Concentration: (>5)
12,Florida,2019,94%,,130,,Concentration: (not-detected)
12,Florida,2020,1%,,4,,Concentration: (0-<=5)
12,Florida,2020,0%,,0,,Concentration: (>5)
12,Florida,2020,99%,,401,,Concentration: (not-detected)
12,Florida,2021,1%,,13,,Concentration: (0-<=5)
12,Florida,2021,0%,,0,,Concentration: (>5)
12,Florida,2021,99%,,"1,120",,Concentration: (not-detected)
12,Florida,2022,5%,,6,,Concentration: (0-<=5)
12,Florida,2022,0%,,0,,Concentration: (>5)
12,Florida,2022,95%,,119,,Concentration: (not-detected)
12,Florida,2023,1%,,5,,Concentration: (0-<=5)
12,Florida,2023,0%,,0,,Concentration: (>5)
12,Florida,2023,99%,,385,,Concentration: (not-detected)
18,Indiana,2022,1%,,1,,Concentration: (0-<=5)
18,Indiana,2022,0%,,0,,Concentration: (>5)
18,Indiana,2022,99%,,94,,Concentration: (not-detected)
18,Indiana,2023,1%,,2,,Concentration: (0-<=5)
18,Indiana,2023,0%,,0,,Concentration: (>5)
18,Indiana,2023,99%,,306,,Concentration: (not-detected)
19,Iowa,1999,4%,,4,,Concentration: (0-<=5)
19,Iowa,1999,0%,,0,,Concentration: (>5)
19,Iowa,1999,96%,,92,,Concentration: (not-detected)
19,Iowa,2000,1%,,8,,Concentration: (0-<=5)
19,Iowa,2000,0%,,0,,Concentration: (>5)
19,Iowa,2000,99%,,599,,Concentration: (not-detected)
19,Iowa,2001,3%,,4,,Concentration: (0-<=5)
19,Iowa,2001,0%,,0,,Concentration: (>5)
19,Iowa,2001,97%,,152,,Concentration: (not-detected)
19,Iowa,2002,2%,,2,,Concentration: (0-<=5)
19,Iowa,2002,0%,,0,,Concentration: (>5)
19,Iowa,2002,98%,,119,,Concentration: (not-detected)
19,Iowa,2003,3%,,4,,Concentration: (0-<=5)
19,Iowa,2003,1%,,1,,Concentration: (>5)
19,Iowa,2003,96%,,118,,Concentration: (not-detected)
19,Iowa,2004,6%,,4,,Concentration: (0-<=5)
19,Iowa,2004,0%,,0,,Concentration: (>5)
19,Iowa,2004,94%,,66,,Concentration: (not-detected)
19,Iowa,2005,4%,,5,,Concentration: (0-<=5)
19,Iowa,2005,0%,,0,,Concentration: (>5)
19,Iowa,2005,96%,,133,,Concentration: (not-detected)
19,Iowa,2006,1%,,5,,Concentration: (0-<=5)
19,Iowa,2006,0%,,0,,Concentration: (>5)
